 Effectiveness, Flexibility, Procrastination, Tuition_Fees,Extracurricular_Activities,Vision_Affected,Device_Availability,Internet_Access,Teachers_co-operation,Class_Particiption,University_Offering_Resources,Hardware_Courses,Economic_Condition,Dependency_on_private_tuition, Lab_Courses ,Cheating_In_Exam,Internet_Connection,Paper_Submission_Issues,Session_Jam,Grading_Policy
Neutral,Neutral,Yes,Yes,No,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Good decision but need to change few things,Average,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Disagree,Yes,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,No,Yes,Maybe,Yes,Easy to connect,Very helpful,Always,Very helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,No,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Not a good decision,Average,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Neutral,Maybe,No,Yes,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Good internet connection allows to give tension free exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,No,Yes,No,Yes,Easy to connect,Not at all,Not always,Not at all helpful,Good decision but need to change few things,Good,Average,Not being able to learn properly from the desired course,Yes,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,Yes,Maybe,Yes,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Very helpful,Not a good decision,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Grading system is strict as like offline exam
Agree,Agree,Maybe,No,Maybe,No,Yes,Easy to connect,Moderately helpful,Not always,Very helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Agree,Yes,No,Yes,No,Yes,Most of the time it is difficult to connect,Not at all,Not at all,Very helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Neutral,Neutral,Yes,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
